Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
88,15:00:49:351,5.27E-05,-9.61E-05,0.006612107,0.000268845,0.123766538,0.089735594,1.079519932,0.709074936,0.725039224,8.722227775,
89,15:00:49:877,1.74E-05,2.65E-05,0.006542502,0.000303823,0.122844986,0.089265104,1.073531466,0.710404972,0.726648332,8.738911514,
90,15:00:50:404,1.72E-05,-7.28E-05,0.006661998,0.00044446,0.125535911,0.091205889,1.096200221,0.709699981,0.726532262,8.732164485,
91,15:00:50:930,-7.58E-05,-2.92E-05,0.006534425,0.000356649,0.124058066,0.090109451,1.084154184,0.709691742,0.726348992,8.73908658,
92,15:00:51:457,-6.38E-05,-5.52E-05,0.006423257,0.00036117,0.121484427,0.088306302,1.060780573,0.710362019,0.726894004,8.731823469,
93,15:00:51:983,-6.31E-05,-5.83E-05,0.006450335,0.000354269,0.122542542,0.088961173,1.070649722,0.709258401,0.725961538,8.73696351,
94,15:00:52:509,2.81E-05,4.68E-05,0.006686232,0.000209838,0.124660584,0.0906552,1.089057597,0.711474821,0.727216229,8.736182403,
95,15:00:53:036,4.72E-05,6.79E-05,0.006524923,0.000400434,0.123772771,0.089870793,1.081330576,0.709853345,0.726095022,8.736417259,
96,15:00:53:562,0.000107827,5.63E-05,0.006300702,0.000337612,0.120232182,0.087403979,1.051660797,0.710392557,0.72695993,8.746916006,
97,15:00:54:090,-4.29E-05,1.51E-05,0.006421119,0.000231489,0.119732169,0.086833805,1.044682722,0.709745782,0.725233711,8.725163276,
98,15:00:54:615,8.96E-05,-3.80E-05,0.006309014,0.000317386,0.118964904,0.086304712,1.037604558,0.709563652,0.725463632,8.721938318,
99,15:00:55:143,2.50E-05,-6.87E-05,0.006548203,0.000294305,0.122110489,0.088623073,1.066835178,0.709215993,0.725761349,8.736638336,
100,15:00:55:669,-9.12E-05,-7.52E-05,0.006454373,0.000310723,0.122119717,0.088616468,1.065973565,0.709343937,0.725652417,8.728922682,
101,15:00:56:196,1.86E-05,-5.25E-05,0.006492379,0.000268845,0.12217758,0.08880118,1.067187182,0.71048856,0.726820585,8.734721875,
102,15:00:56:723,-3.47E-05,9.99E-05,0.006530149,0.000365691,0.123181221,0.089614102,1.075952291,0.711551336,0.727498081,8.734710402,
103,15:00:57:249,-3.23E-05,-7.11E-05,0.006504019,0.000369974,0.123014213,0.089495556,1.074753183,0.710687655,0.72752208,8.73682117,
104,15:00:57:776,-9.34E-06,1.48E-05,0.006479552,0.000273128,0.122204019,0.089059623,1.068741357,0.712257461,0.728778184,8.745550004,
105,15:00:58:302,3.99E-05,-4.99E-05,0.006673402,0.000341657,0.125130363,0.090892572,1.093435765,0.709719178,0.726383026,8.738372825,
106,15:00:58:828,-5.31E-06,-8.02E-05,0.006571009,0.000313341,0.125142597,0.091059255,1.093559752,0.710900525,0.727643957,8.738509318,
107,15:00:59:355,1.43E-05,-7.75E-05,0.006509007,0.000296922,0.123516814,0.089694036,1.079475288,0.709462967,0.726168632,8.739500743,
